,humanoid_class,humanoid_fp,humanoid_probs,humanoid_job,action,remaining_time,capacity,local_run_id
0,healthy,consolidated_dataset/test_00196.png,"{'doctor': 5, 'engineer': 23, 'normal': 54, 'thug': 10, 'imposter': 5, 'pessimist': 2}",engineer,save,720.0,0,0
1,healthy,consolidated_dataset/test_00055.png,"{'doctor': 9, 'engineer': 15, 'normal': 8, 'thug': 3, 'imposter': 10, 'pessimist': 56}",engineer,save,690.0,1,0
2,zombie,consolidated_dataset/test_00029.png,"{'doctor': 2, 'engineer': 42, 'normal': 1, 'thug': 7, 'imposter': 43, 'pessimist': 5}",engineer,scram,660.0,2,0
3,zombie,consolidated_dataset/test_00166.png,"{'doctor': 15, 'engineer': 30, 'normal': 2, 'thug': 3, 'imposter': 17, 'pessimist': 32}",imposter,skip,850.0,0,0
4,zombie,consolidated_dataset/test_00101.png,"{'doctor': 10, 'engineer': 1, 'normal': 42, 'thug': 0, 'imposter': 0, 'pessimist': 47}",normal,skip,830.0,0,0
5,healthy,consolidated_dataset/test_00187.png,"{'doctor': 56, 'engineer': 5, 'normal': 1, 'thug': 21, 'imposter': 0, 'pessimist': 17}",pessimist,save,810.0,0,0
6,healthy,consolidated_dataset/test_00160.png,"{'doctor': 0, 'engineer': 35, 'normal': 23, 'thug': 2, 'imposter': 37, 'pessimist': 1}",engineer,save,780.0,1,0
7,healthy,consolidated_dataset/test_00151.png,"{'doctor': 21, 'engineer': 44, 'normal': 4, 'thug': 7, 'imposter': 8, 'pessimist': 16}",doctor,save,750.0,2,0
8,healthy,consolidated_dataset/test_00184.png,"{'doctor': 62, 'engineer': 11, 'normal': 18, 'thug': 2, 'imposter': 2, 'pessimist': 4}",doctor,save,720.0,3,0
9,zombie,consolidated_dataset/test_00022.png,"{'doctor': 15, 'engineer': 17, 'normal': 40, 'thug': 3, 'imposter': 9, 'pessimist': 16}",pessimist,scram,690.0,4,0
10,healthy,consolidated_dataset/test_00008.png,"{'doctor': 16, 'engineer': 33, 'normal': 11, 'thug': 37, 'imposter': 1, 'pessimist': 3}",pessimist,save,712.0,0,0
11,zombie,consolidated_dataset/test_00105.png,"{'doctor': 4, 'engineer': 3, 'normal': 39, 'thug': 4, 'imposter': 28, 'pessimist': 22}",pessimist,squish,682.0,1,0
12,healthy,consolidated_dataset/test_00098.png,"{'doctor': 4, 'engineer': 36, 'normal': 17, 'thug': 10, 'imposter': 17, 'pessimist': 16}",thug,skip,667.0,1,0
13,zombie,consolidated_dataset/test_00088.png,"{'doctor': 12, 'engineer': 0, 'normal': 1, 'thug': 83, 'imposter': 4, 'pessimist': 0}",thug,skip,647.0,1,0
14,healthy,consolidated_dataset/test_00182.png,"{'doctor': 2, 'engineer': 17, 'normal': 17, 'thug': 39, 'imposter': 2, 'pessimist': 23}",engineer,save,627.0,1,0
15,healthy,consolidated_dataset/test_00115.png,"{'doctor': 7, 'engineer': 0, 'normal': 1, 'thug': 1, 'imposter': 42, 'pessimist': 49}",imposter,scram,597.0,2,0
16,healthy,consolidated_dataset/test_00081.png,"{'doctor': 10, 'engineer': 24, 'normal': 35, 'thug': 20, 'imposter': 10, 'pessimist': 2}",engineer,save,619.0,0,0
17,zombie,consolidated_dataset/test_00168.png,"{'doctor': 3, 'engineer': 8, 'normal': 25, 'thug': 11, 'imposter': 47, 'pessimist': 7}",imposter,scram,589.0,1,0
18,zombie,consolidated_dataset/test_00093.png,"{'doctor': 27, 'engineer': 13, 'normal': 38, 'thug': 17, 'imposter': 2, 'pessimist': 3}",doctor,reveal,659.0,0,0
19,healthy,consolidated_dataset/test_00124.png,"{'doctor': 30, 'engineer': 1, 'normal': 10, 'thug': 37, 'imposter': 3, 'pessimist': 18}",thug,save,629.0,0,0
20,zombie,consolidated_dataset/test_00152.png,"{'doctor': 68, 'engineer': 0, 'normal': 0, 'thug': 1, 'imposter': 9, 'pessimist': 22}",pessimist,reveal,599.0,1,0
21,healthy,consolidated_dataset/test_00119.png,"{'doctor': 2, 'engineer': 9, 'normal': 43, 'thug': 28, 'imposter': 1, 'pessimist': 16}",normal,skip,569.0,1,0
22,healthy,consolidated_dataset/test_00118.png,"{'doctor': 39, 'engineer': 1, 'normal': 0, 'thug': 4, 'imposter': 36, 'pessimist': 20}",doctor,save,549.0,1,0
23,healthy,consolidated_dataset/test_00117.png,"{'doctor': 18, 'engineer': 5, 'normal': 56, 'thug': 1, 'imposter': 8, 'pessimist': 12}",engineer,save,519.0,2,0
24,zombie,consolidated_dataset/test_00024.png,"{'doctor': 2, 'engineer': 24, 'normal': 43, 'thug': 2, 'imposter': 14, 'pessimist': 15}",imposter,scram,489.0,3,0
25,zombie,consolidated_dataset/test_00099.png,"{'doctor': 6, 'engineer': 3, 'normal': 57, 'thug': 31, 'imposter': 1, 'pessimist': 3}",doctor,squish,559.0,0,0
26,zombie,consolidated_dataset/test_00076.png,"{'doctor': 72, 'engineer': 8, 'normal': 6, 'thug': 3, 'imposter': 0, 'pessimist': 11}",doctor,skip,544.0,0,0
27,zombie,consolidated_dataset/test_00197.png,"{'doctor': 17, 'engineer': 1, 'normal': 5, 'thug': 0, 'imposter': 67, 'pessimist': 9}",imposter,squish,524.0,0,0
28,zombie,consolidated_dataset/test_00027.png,"{'doctor': 21, 'engineer': 4, 'normal': 30, 'thug': 23, 'imposter': 14, 'pessimist': 9}",pessimist,skip,509.0,0,0
29,healthy,consolidated_dataset/test_00176.png,"{'doctor': 4, 'engineer': 42, 'normal': 32, 'thug': 4, 'imposter': 14, 'pessimist': 4}",doctor,save,489.0,0,0
30,zombie,consolidated_dataset/test_00060.png,"{'doctor': 80, 'engineer': 2, 'normal': 6, 'thug': 6, 'imposter': 1, 'pessimist': 6}",doctor,skip,459.0,1,0
31,healthy,consolidated_dataset/test_00062.png,"{'doctor': 17, 'engineer': 1, 'normal': 60, 'thug': 4, 'imposter': 9, 'pessimist': 8}",pessimist,reveal,439.0,1,0
32,healthy,consolidated_dataset/test_00012.png,"{'doctor': 2, 'engineer': 12, 'normal': 8, 'thug': 77, 'imposter': 1, 'pessimist': 1}",thug,save,409.0,1,0
33,zombie,consolidated_dataset/test_00146.png,"{'doctor': 37, 'engineer': 17, 'normal': 20, 'thug': 14, 'imposter': 1, 'pessimist': 9}",doctor,save,379.0,2,0
34,zombie,consolidated_dataset/test_00137.png,"{'doctor': 3, 'engineer': 6, 'normal': 62, 'thug': 13, 'imposter': 4, 'pessimist': 11}",normal,scram,349.0,3,0
35,zombie,consolidated_dataset/test_00071.png,"{'doctor': 29, 'engineer': 4, 'normal': 42, 'thug': 1, 'imposter': 21, 'pessimist': 4}",normal,save,299.0,0,0
36,zombie,consolidated_dataset/test_00112.png,"{'doctor': 18, 'engineer': 67, 'normal': 11, 'thug': 1, 'imposter': 1, 'pessimist': 2}",doctor,save,269.0,1,0
37,zombie,consolidated_dataset/test_00199.png,"{'doctor': 2, 'engineer': 5, 'normal': 60, 'thug': 3, 'imposter': 15, 'pessimist': 14}",engineer,skip,239.0,2,0
38,zombie,consolidated_dataset/test_00149.png,"{'doctor': 27, 'engineer': 26, 'normal': 15, 'thug': 10, 'imposter': 18, 'pessimist': 4}",engineer,scram,219.0,2,0
39,healthy,consolidated_dataset/test_00155.png,"{'doctor': 7, 'engineer': 0, 'normal': 14, 'thug': 0, 'imposter': 1, 'pessimist': 78}",imposter,save,169.0,0,0
40,zombie,consolidated_dataset/test_00079.png,"{'doctor': 34, 'engineer': 2, 'normal': 1, 'thug': 35, 'imposter': 20, 'pessimist': 7}",doctor,scram,139.0,1,0
Killed: 3 Saved: 15
