,humanoid_class,humanoid_fp,humanoid_probs,humanoid_job,action,remaining_time,capacity,local_run_id
0,healthy,consolidated_dataset/test_00127.png,"{'doctor': 9, 'engineer': 3, 'normal': 79, 'thug': 5, 'imposter': 2, 'pessimist': 1}",imposter,skip,720.0,0,0
1,zombie,consolidated_dataset/test_00071.png,"{'doctor': 12, 'engineer': 46, 'normal': 2, 'thug': 2, 'imposter': 37, 'pessimist': 1}",engineer,skip,700.0,0,0
2,healthy,consolidated_dataset/test_00150.png,"{'doctor': 3, 'engineer': 1, 'normal': 50, 'thug': 7, 'imposter': 38, 'pessimist': 1}",imposter,skip,680.0,0,0
3,healthy,consolidated_dataset/test_00135.png,"{'doctor': 16, 'engineer': 15, 'normal': 16, 'thug': 19, 'imposter': 4, 'pessimist': 31}",normal,skip,660.0,0,0
4,zombie,consolidated_dataset/test_00024.png,"{'doctor': 5, 'engineer': 2, 'normal': 8, 'thug': 40, 'imposter': 2, 'pessimist': 43}",thug,squish,640.0,0,0
5,healthy,consolidated_dataset/test_00026.png,"{'doctor': 29, 'engineer': 10, 'normal': 32, 'thug': 20, 'imposter': 8, 'pessimist': 1}",doctor,save,625.0,0,0
6,zombie,consolidated_dataset/test_00097.png,"{'doctor': 4, 'engineer': 20, 'normal': 38, 'thug': 2, 'imposter': 27, 'pessimist': 9}",engineer,skip,595.0,1,0
7,healthy,consolidated_dataset/test_00096.png,"{'doctor': 6, 'engineer': 13, 'normal': 60, 'thug': 16, 'imposter': 4, 'pessimist': 1}",engineer,save,575.0,1,0
8,healthy,consolidated_dataset/test_00094.png,"{'doctor': 11, 'engineer': 26, 'normal': 10, 'thug': 17, 'imposter': 9, 'pessimist': 28}",thug,scram,545.0,2,0
9,zombie,consolidated_dataset/test_00116.png,"{'doctor': 1, 'engineer': 13, 'normal': 7, 'thug': 72, 'imposter': 3, 'pessimist': 4}",thug,squish,615.0,0,0
10,healthy,consolidated_dataset/test_00107.png,"{'doctor': 2, 'engineer': 3, 'normal': 2, 'thug': 13, 'imposter': 0, 'pessimist': 79}",pessimist,save,600.0,0,0
11,zombie,consolidated_dataset/test_00168.png,"{'doctor': 4, 'engineer': 1, 'normal': 75, 'thug': 1, 'imposter': 6, 'pessimist': 13}",normal,skip,570.0,1,0
12,zombie,consolidated_dataset/test_00152.png,"{'doctor': 89, 'engineer': 7, 'normal': 1, 'thug': 1, 'imposter': 1, 'pessimist': 2}",doctor,skip,550.0,1,0
13,zombie,consolidated_dataset/test_00146.png,"{'doctor': 1, 'engineer': 18, 'normal': 42, 'thug': 32, 'imposter': 4, 'pessimist': 4}",normal,squish,530.0,1,0
14,zombie,consolidated_dataset/test_00091.png,"{'doctor': 1, 'engineer': 2, 'normal': 62, 'thug': 1, 'imposter': 4, 'pessimist': 30}",normal,squish,515.0,1,0
15,healthy,consolidated_dataset/test_00001.png,"{'doctor': 6, 'engineer': 2, 'normal': 64, 'thug': 20, 'imposter': 3, 'pessimist': 4}",imposter,scram,500.0,1,0
16,healthy,consolidated_dataset/test_00171.png,"{'doctor': 6, 'engineer': 17, 'normal': 56, 'thug': 1, 'imposter': 19, 'pessimist': 2}",normal,save,450.0,0,0
17,healthy,consolidated_dataset/test_00183.png,"{'doctor': 3, 'engineer': 3, 'normal': 4, 'thug': 26, 'imposter': 6, 'pessimist': 59}",pessimist,save,420.0,1,0
18,healthy,consolidated_dataset/test_00038.png,"{'doctor': 31, 'engineer': 28, 'normal': 0, 'thug': 4, 'imposter': 18, 'pessimist': 18}",engineer,save,390.0,2,0
19,healthy,consolidated_dataset/test_00078.png,"{'doctor': 2, 'engineer': 3, 'normal': 5, 'thug': 2, 'imposter': 0, 'pessimist': 88}",pessimist,skip,360.0,3,0
20,healthy,consolidated_dataset/test_00036.png,"{'doctor': 11, 'engineer': 8, 'normal': 29, 'thug': 7, 'imposter': 16, 'pessimist': 29}",doctor,reveal,340.0,3,0
21,healthy,consolidated_dataset/test_00050.png,"{'doctor': 1, 'engineer': 16, 'normal': 42, 'thug': 1, 'imposter': 28, 'pessimist': 12}",normal,reveal,310.0,3,0
22,healthy,consolidated_dataset/test_00084.png,"{'doctor': 23, 'engineer': 10, 'normal': 6, 'thug': 28, 'imposter': 30, 'pessimist': 3}",imposter,skip,280.0,3,0
23,zombie,consolidated_dataset/test_00014.png,"{'doctor': 7, 'engineer': 37, 'normal': 22, 'thug': 21, 'imposter': 9, 'pessimist': 5}",thug,skip,260.0,3,0
24,zombie,consolidated_dataset/test_00179.png,"{'doctor': 3, 'engineer': 2, 'normal': 44, 'thug': 19, 'imposter': 8, 'pessimist': 24}",thug,scram,240.0,3,0
25,healthy,consolidated_dataset/test_00008.png,"{'doctor': 1, 'engineer': 2, 'normal': 87, 'thug': 6, 'imposter': 4, 'pessimist': 0}",normal,save,262.0,0,0
26,healthy,consolidated_dataset/test_00114.png,"{'doctor': 0, 'engineer': 90, 'normal': 2, 'thug': 1, 'imposter': 4, 'pessimist': 3}",engineer,save,232.0,1,0
27,healthy,consolidated_dataset/test_00054.png,"{'doctor': 45, 'engineer': 30, 'normal': 13, 'thug': 2, 'imposter': 8, 'pessimist': 1}",engineer,save,202.0,2,0
28,zombie,consolidated_dataset/test_00195.png,"{'doctor': 4, 'engineer': 18, 'normal': 7, 'thug': 17, 'imposter': 36, 'pessimist': 17}",imposter,scram,172.0,3,0
29,healthy,consolidated_dataset/test_00098.png,"{'doctor': 1, 'engineer': 0, 'normal': 1, 'thug': 2, 'imposter': 55, 'pessimist': 41}",pessimist,save,362.0,0,0
30,healthy,consolidated_dataset/test_00003.png,"{'doctor': 17, 'engineer': 4, 'normal': 71, 'thug': 3, 'imposter': 3, 'pessimist': 3}",normal,skip,332.0,1,0
31,healthy,consolidated_dataset/test_00165.png,"{'doctor': 57, 'engineer': 28, 'normal': 1, 'thug': 0, 'imposter': 0, 'pessimist': 14}",doctor,save,312.0,1,0
32,healthy,consolidated_dataset/test_00130.png,"{'doctor': 6, 'engineer': 1, 'normal': 1, 'thug': 10, 'imposter': 78, 'pessimist': 4}",doctor,save,282.0,2,0
33,healthy,consolidated_dataset/test_00035.png,"{'doctor': 31, 'engineer': 4, 'normal': 1, 'thug': 33, 'imposter': 17, 'pessimist': 14}",doctor,scram,252.0,3,0
34,zombie,consolidated_dataset/test_00034.png,"{'doctor': 13, 'engineer': 1, 'normal': 21, 'thug': 3, 'imposter': 46, 'pessimist': 16}",normal,skip,202.0,0,0
35,zombie,consolidated_dataset/test_00086.png,"{'doctor': 3, 'engineer': 4, 'normal': 36, 'thug': 4, 'imposter': 31, 'pessimist': 22}",imposter,squish,182.0,0,0
36,zombie,consolidated_dataset/test_00156.png,"{'doctor': 14, 'engineer': 62, 'normal': 0, 'thug': 4, 'imposter': 11, 'pessimist': 8}",doctor,save,167.0,0,0
37,zombie,consolidated_dataset/test_00144.png,"{'doctor': 3, 'engineer': 3, 'normal': 5, 'thug': 4, 'imposter': 31, 'pessimist': 55}",pessimist,skip,137.0,1,0
38,healthy,consolidated_dataset/test_00158.png,"{'doctor': 7, 'engineer': 17, 'normal': 4, 'thug': 34, 'imposter': 3, 'pessimist': 36}",thug,scram,117.0,1,0
39,healthy,consolidated_dataset/test_00100.png,"{'doctor': 0, 'engineer': 30, 'normal': 1, 'thug': 4, 'imposter': 5, 'pessimist': 59}",pessimist,save,67.0,0,0
40,zombie,consolidated_dataset/test_00110.png,"{'doctor': 2, 'engineer': 6, 'normal': 81, 'thug': 7, 'imposter': 0, 'pessimist': 4}",thug,squish,37.0,1,0
41,zombie,consolidated_dataset/test_00049.png,"{'doctor': 7, 'engineer': 34, 'normal': 52, 'thug': 2, 'imposter': 4, 'pessimist': 0}",normal,save,22.0,1,0
Killed: 0 Saved: 15
