,local_run_id,humanoid_class,humanoid_fp,humanoid_probs,humanoid_job,action,remaining_time,capacity
0,1,zombie,consolidated_dataset/test_00108.png,"{'doctor': 0, 'engineer': 13, 'normal': 3, 'thug': 72, 'imposter': 6, 'pessimist': 6}",thug,squish,720.0,0.0
1,1,healthy,consolidated_dataset/test_00064.png,"{'doctor': 1, 'engineer': 62, 'normal': 4, 'thug': 21, 'imposter': 1, 'pessimist': 11}",engineer,save,705.0,0.0
2,1,healthy,consolidated_dataset/test_00111.png,"{'doctor': 4, 'engineer': 7, 'normal': 1, 'thug': 0, 'imposter': 79, 'pessimist': 9}",imposter,skip,675.0,1.0
3,1,zombie,consolidated_dataset/test_00080.png,"{'doctor': 16, 'engineer': 4, 'normal': 4, 'thug': 2, 'imposter': 27, 'pessimist': 47}",pessimist,skip,655.0,1.0
4,1,zombie,consolidated_dataset/test_00113.png,"{'doctor': 38, 'engineer': 4, 'normal': 11, 'thug': 14, 'imposter': 30, 'pessimist': 2}",imposter,squish,635.0,1.0
5,1,healthy,consolidated_dataset/test_00193.png,"{'doctor': 1, 'engineer': 9, 'normal': 15, 'thug': 45, 'imposter': 30, 'pessimist': 1}",imposter,skip,620.0,1.0
6,1,zombie,consolidated_dataset/test_00149.png,"{'doctor': 8, 'engineer': 13, 'normal': 31, 'thug': 1, 'imposter': 27, 'pessimist': 21}",pessimist,squish,600.0,1.0
7,1,zombie,consolidated_dataset/test_00093.png,"{'doctor': 14, 'engineer': 22, 'normal': 61, 'thug': 1, 'imposter': 1, 'pessimist': 1}",engineer,squish,585.0,1.0
8,1,healthy,consolidated_dataset/test_00102.png,"{'doctor': 4, 'engineer': 32, 'normal': 0, 'thug': 54, 'imposter': 8, 'pessimist': 1}",engineer,save,570.0,1.0
9,1,zombie,consolidated_dataset/test_00061.png,"{'doctor': 12, 'engineer': 10, 'normal': 39, 'thug': 1, 'imposter': 22, 'pessimist': 17}",doctor,squish,540.0,2.0
10,1,healthy,consolidated_dataset/test_00001.png,"{'doctor': 1, 'engineer': 23, 'normal': 4, 'thug': 2, 'imposter': 6, 'pessimist': 64}",pessimist,skip,525.0,2.0
11,1,healthy,consolidated_dataset/test_00141.png,"{'doctor': 67, 'engineer': 8, 'normal': 18, 'thug': 5, 'imposter': 2, 'pessimist': 1}",engineer,save,505.0,2.0
