,local_run_id,humanoid_class,humanoid_fp,humanoid_probs,humanoid_job,action,remaining_time,capacity
0,1,healthy,consolidated_dataset/test_00191.png,"{'doctor': 11, 'engineer': 0, 'normal': 4, 'thug': 7, 'imposter': 77, 'pessimist': 1}",imposter,squish,720.0,0.0
1,1,healthy,consolidated_dataset/test_00083.png,"{'doctor': 5, 'engineer': 6, 'normal': 62, 'thug': 4, 'imposter': 9, 'pessimist': 12}",normal,save,705.0,0.0
2,1,healthy,consolidated_dataset/test_00183.png,"{'doctor': 6, 'engineer': 3, 'normal': 28, 'thug': 38, 'imposter': 21, 'pessimist': 4}",normal,save,675.0,1.0
3,1,zombie,consolidated_dataset/test_00197.png,"{'doctor': 1, 'engineer': 31, 'normal': 43, 'thug': 3, 'imposter': 13, 'pessimist': 9}",normal,squish,645.0,2.0
4,1,healthy,consolidated_dataset/test_00102.png,"{'doctor': 12, 'engineer': 37, 'normal': 39, 'thug': 7, 'imposter': 3, 'pessimist': 2}",normal,save,630.0,2.0
5,1,zombie,consolidated_dataset/test_00034.png,"{'doctor': 15, 'engineer': 21, 'normal': 37, 'thug': 20, 'imposter': 4, 'pessimist': 2}",normal,squish,600.0,3.0
6,1,zombie,consolidated_dataset/test_00030.png,"{'doctor': 2, 'engineer': 79, 'normal': 4, 'thug': 4, 'imposter': 1, 'pessimist': 11}",engineer,squish,585.0,3.0
7,1,healthy,consolidated_dataset/test_00023.png,"{'doctor': 2, 'engineer': 12, 'normal': 24, 'thug': 45, 'imposter': 13, 'pessimist': 3}",engineer,save,570.0,3.0
8,1,healthy,consolidated_dataset/test_00019.png,"{'doctor': 29, 'engineer': 4, 'normal': 57, 'thug': 6, 'imposter': 1, 'pessimist': 3}",normal,save,540.0,4.0
9,1,zombie,consolidated_dataset/test_00166.png,"{'doctor': 1, 'engineer': 4, 'normal': 41, 'thug': 6, 'imposter': 48, 'pessimist': 0}",imposter,skip,510.0,5.0
10,1,healthy,consolidated_dataset/test_00117.png,"{'doctor': 5, 'engineer': 65, 'normal': 5, 'thug': 15, 'imposter': 4, 'pessimist': 6}",engineer,skip,490.0,5.0
11,1,healthy,consolidated_dataset/test_00052.png,"{'doctor': 78, 'engineer': 1, 'normal': 12, 'thug': 2, 'imposter': 3, 'pessimist': 4}",doctor,scram,470.0,5.0
12,1,zombie,consolidated_dataset/test_00142.png,"{'doctor': 19, 'engineer': 0, 'normal': 4, 'thug': 20, 'imposter': 0, 'pessimist': 56}",pessimist,squish,540.0,0.0
13,1,zombie,consolidated_dataset/test_00060.png,"{'doctor': 3, 'engineer': 13, 'normal': 42, 'thug': 4, 'imposter': 28, 'pessimist': 11}",imposter,squish,525.0,0.0
14,1,zombie,consolidated_dataset/test_00161.png,"{'doctor': 4, 'engineer': 13, 'normal': 19, 'thug': 2, 'imposter': 13, 'pessimist': 49}",pessimist,squish,510.0,0.0
15,1,zombie,consolidated_dataset/test_00167.png,"{'doctor': 6, 'engineer': 46, 'normal': 8, 'thug': 8, 'imposter': 20, 'pessimist': 12}",imposter,squish,495.0,0.0
16,1,healthy,consolidated_dataset/test_00178.png,"{'doctor': 0, 'engineer': 11, 'normal': 87, 'thug': 1, 'imposter': 1, 'pessimist': 1}",normal,save,480.0,0.0
17,1,zombie,consolidated_dataset/test_00180.png,"{'doctor': 16, 'engineer': 26, 'normal': 53, 'thug': 3, 'imposter': 1, 'pessimist': 1}",engineer,squish,450.0,1.0
