episode,timestep,reward
3,400,-49.3333
6,800,-67.3333
8,1200,-67.25
11,1600,-79.6667
13,2000,-72.0
16,2400,-71.5
21,2800,-39.0
26,3200,-29.4
38,3600,-11.9167
47,4000,-17.0556
58,4400,-11.3182
70,4800,-10.3333
88,5200,-7.4167
108,5600,-6.325
128,6000,-3.075
145,6400,-5.8529
166,6800,-4.3095
189,7200,-1.0
213,7600,-3.625
234,8000,-6.0952
264,8400,0.3667
292,8800,-0.1429
322,9200,-0.9667
350,9600,0.1071
384,10000,0.3824
416,10400,0.8125
450,10800,1.0588
483,11200,1.4848
515,11600,1.7188
547,12000,0.625
579,12400,2.0312
611,12800,1.5625
645,13200,2.0588
679,13600,2.3235
713,14000,2.5882
745,14400,2.875
776,14800,3.2258
809,15200,2.5152
841,15600,2.7812
873,16000,2.9688
906,16400,3.1818
939,16800,3.697
971,17200,2.5312
1004,17600,2.6364
1037,18000,2.7273
1071,18400,2.4706
1105,18800,3.0882
1138,19200,3.0909
1171,19600,3.3636
1204,20000,2.7576
1237,20400,3.303
1271,20800,2.9118
1305,21200,3.2941
1339,21600,3.7647
1372,22000,2.7879
1407,22400,3.2
1442,22800,3.0286
1475,23200,3.6061
1508,23600,3.2424
1542,24000,2.8235
1577,24400,3.5429
1611,24800,4.2059
1645,25200,2.9118
1680,25600,3.3429
1715,26000,3.6286
1749,26400,3.8824
1782,26800,3.8485
1816,27200,3.9706
1850,27600,3.3529
1883,28000,3.2727
1916,28400,4.1818
1949,28800,3.3333
1983,29200,2.8529
2017,29600,3.2941
2050,30000,3.9697
2083,30400,4.3636
2116,30800,4.0606
2149,31200,4.1212
2183,31600,3.4412
2216,32000,3.7879
2250,32400,3.7941
2283,32800,4.2727
2316,33200,4.303
2349,33600,4.1818
2383,34000,3.9412
2416,34400,4.7273
2450,34800,4.0
2484,35200,4.0882
2516,35600,4.7188
2549,36000,3.2727
2581,36400,4.6875
2614,36800,3.9394
2646,37200,3.7188
2678,37600,4.3438
2711,38000,3.8182
2744,38400,4.1818
2777,38800,4.4242
2809,39200,3.3125
2842,39600,3.7273
2874,40000,4.1562
2907,40400,4.3333
2939,40800,3.625
2971,41200,4.1562
3003,41600,4.1562
3036,42000,4.0606
3069,42400,3.7576
3102,42800,3.8788
3134,43200,3.9688
3167,43600,4.1818
3201,44000,3.7647
3234,44400,4.4848
3266,44800,4.0312
3301,45200,4.4571
3335,45600,3.8824
3368,46000,4.7576
3402,46400,4.0
3436,46800,4.3529
3470,47200,3.6471
3503,47600,4.5455
3537,48000,4.3235
3570,48400,3.8485
3603,48800,4.5152
3636,49200,4.1818
3669,49600,4.6364
3702,50000,4.8485
3735,50400,3.6364
3768,50800,4.303
3802,51200,4.2059
3834,51600,4.375
3867,52000,4.1818
3901,52400,4.2647
3934,52800,4.2424
3967,53200,4.2121
3999,53600,4.3438
4033,54000,3.2941
4066,54400,4.3333
4100,54800,4.5294
4133,55200,4.2727
4165,55600,3.9375
4199,56000,4.2353
4230,56400,4.2903
4261,56800,4.3226
4292,57200,4.0968
4324,57600,3.75
4356,58000,3.5312
4389,58400,4.0
4421,58800,4.4062
4454,59200,3.9697
4485,59600,3.6452
4517,60000,3.9375
4550,60400,4.0303
4582,60800,3.0
4615,61200,3.9394
4648,61600,3.8788
4680,62000,4.1562
4712,62400,4.4062
4745,62800,3.9394
4777,63200,4.0
4809,63600,3.75
4842,64000,4.1818
4875,64400,3.4848
4908,64800,4.5455
4940,65200,3.8125
4973,65600,4.5152
5006,66000,4.303
5038,66400,4.5938
5071,66800,5.0
5105,67200,4.2941
5138,67600,3.0606
5171,68000,4.4242
5204,68400,4.4242
5237,68800,3.303
5271,69200,4.0882
5305,69600,3.9706
5338,70000,3.7576
5371,70400,4.1212
5405,70800,3.8824
5438,71200,4.5455
5472,71600,3.9118
5506,72000,4.5294
5539,72400,3.8485
5571,72800,4.875
5604,73200,3.8182
5637,73600,4.0
5670,74000,4.5152
5703,74400,4.0303
5737,74800,4.2353
5770,75200,4.9697
5803,75600,4.3333
5836,76000,4.6364
5870,76400,4.2941
5904,76800,3.8529
5936,77200,4.75
5969,77600,4.3333
6002,78000,5.0
6035,78400,4.7273
6067,78800,4.4062
6101,79200,3.8529
6134,79600,4.4242
6166,80000,4.875
6200,80400,3.8529
6233,80800,4.0303
6267,81200,4.2941
6299,81600,4.75
6332,82000,3.7273
6366,82400,3.6176
6398,82800,3.8438
6432,83200,4.8529
6464,83600,4.7188
6497,84000,4.697
6530,84400,4.697
6564,84800,4.5
6596,85200,4.5312
6629,85600,5.0
6661,86000,3.4688
6694,86400,4.1818
6725,86800,3.7419
6757,87200,4.0938
6789,87600,5.125
6821,88000,4.3125
6853,88400,3.25
6884,88800,5.1613
6916,89200,4.2812
6949,89600,3.1212
6980,90000,4.6452
7013,90400,5.1515
7045,90800,4.4688
7076,91200,4.0
7109,91600,4.6667
7141,92000,5.1875
7173,92400,4.5312
7206,92800,3.3636
7238,93200,4.0312
7271,93600,4.4848
7304,94000,5.0
7336,94400,4.5
7367,94800,4.3226
7400,95200,4.5152
7432,95600,4.7812
7465,96000,4.2727
7497,96400,3.7188
7529,96800,4.6875
7561,97200,3.7188
7593,97600,3.5938
7625,98000,4.8125
7657,98400,3.625
7690,98800,3.7273
7722,99200,4.0625
7754,99600,4.2812
7786,100000,3.8125
